Mycenaean population rebalance report
====================================

Locations rebalanced: 76
Historical target pop size estimate: 100.000 (~1,000,000 inhabitants)
Current input pop size before this run: 99.350
New total pop size: 99.350
Change from current input: 0.000 (0.0%)
Distance from historical target: -0.650 (-0.6%)

New social structure:
- peasants: 94.419 (95.0%)
- nobles: 2.025 (2.0%)
- clergy: 0.995 (1.0%)
- burghers: 1.911 (1.9%)
- tribesmen: 0.000 (0.0%)
- slaves: 0.000 (0.0%)

Location details:
- amorgos: Tier 3 small island community; cycladic/hellenic; 0.650 -> 0.650 total
- pontikokastro: Tier 3 small port; mycenaean/mycenaean; 1.150 -> 1.150 total
- rethymno: Tier 3 small port; minoan/minoan; 1.150 -> 1.150 total
- samos: Tier 2 maritime center; ionian/hellenic; 1.550 -> 1.550 total
- siteia: Tier 3 small port; minoan/minoan; 1.150 -> 1.150 total
- sporades: Tier 3 small island community; cycladic/hellenic; 0.650 -> 0.650 total
- stomio: Tier 3 small port; aeolian/hellenic; 1.150 -> 1.150 total
- thebes: Tier 1 great palace - Thebes; mycenaean/mycenaean; 3.600 -> 3.600 total
- tripolitsa: Tier 3 rural center; arcadian/hellenic; 1.500 -> 1.500 total
- tyrnavos: Tier 3 rural center; aeolian/hellenic; 1.500 -> 1.500 total
- viannos: Tier 3 agricultural village; minoan/minoan; 1.500 -> 1.500 total
- vonitsa: Tier 3 small port; mycenaean/mycenaean; 1.150 -> 1.150 total
- xylokastro: Tier 3 small port; mycenaean/mycenaean; 1.150 -> 1.150 total
- zakynthos: Tier 3 small maritime island port; mycenaean/mycenaean; 1.000 -> 1.000 total
- zetounion: Tier 3 small port; pelasgian/hellenic; 1.150 -> 1.150 total
- chalandritsa: Tier 3 rural center; mycenaean/mycenaean; 1.500 -> 1.500 total
- kalavryta: Tier 3 rural center; arcadian/hellenic; 1.500 -> 1.500 total
- patras: Tier 2 regional town; mycenaean/mycenaean; 1.700 -> 1.700 total
- vostitsa: Tier 3 small port; mycenaean/mycenaean; 1.150 -> 1.150 total
- athens: Tier 1 palace - Athens, important but still pre-classical; ionian/hellenic; 2.400 -> 2.400 total
- demetrias: Tier 3 minor palace or heroic center; aeolian/hellenic; 1.500 -> 1.500 total
- atalanti: Tier 3 agricultural village; pelasgian/hellenic; 1.500 -> 1.500 total
- gravia: Tier 3 sparse mountain or pastoral community; pelasgian/hellenic; 0.750 -> 0.750 total
- kalamata: Tier 1 great palace - Pylos agricultural administration; mycenaean/mycenaean; 3.000 -> 3.000 total
- kyparissia: Tier 3 rural center; mycenaean/mycenaean; 1.500 -> 1.500 total
- leuktron: Tier 3 agricultural village; mycenaean/mycenaean; 1.500 -> 1.500 total
- modon: Tier 3 small port; mycenaean/mycenaean; 1.150 -> 1.150 total
- karpathos: Tier 3 small island community; dorian/hellenic; 0.650 -> 0.650 total
- rodos: Tier 1 maritime palace - Rhodes; dorian/hellenic; 2.000 -> 2.000 total
- astros: Tier 3 agricultural village; mycenaean/mycenaean; 1.500 -> 1.500 total
- kythira: Tier 3 small island community; cycladic/hellenic; 0.650 -> 0.650 total
- monemvasia: Tier 3 small port; mycenaean/mycenaean; 1.150 -> 1.150 total
- mystras: Tier 1 palace - Sparta region, warrior aristocracy; mycenaean/mycenaean; 2.600 -> 2.600 total
- oitylo: Tier 3 sparse mountain or pastoral community; mycenaean/mycenaean; 0.750 -> 0.750 total
- veligosti: Tier 3 sparse mountain or pastoral community; arcadian/hellenic; 0.750 -> 0.750 total
- livadeia: Tier 3 rural center; mycenaean/mycenaean; 1.500 -> 1.500 total
- salona: Tier 3 sparse mountain or pastoral community; pelasgian/hellenic; 0.750 -> 0.750 total

Tier 1 palace centers:
- argos: 3.800 total, peasants 88.2%, nobles 4.5%, clergy 1.8%, burghers 5.5%
- thebes: 3.600 total, peasants 88.3%, nobles 4.4%, clergy 1.9%, burghers 5.3%
- athens: 2.400 total, peasants 90.0%, nobles 4.0%, clergy 1.9%, burghers 4.2%
- kalamata: 3.000 total, peasants 89.0%, nobles 4.7%, clergy 2.0%, burghers 4.3%
- mystras: 2.600 total, peasants 90.8%, nobles 5.0%, clergy 1.5%, burghers 2.7%
- rodos: 2.000 total, peasants 86.0%, nobles 4.0%, clergy 2.0%, burghers 8.0%
